Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22p","C_0805_2012Metric",-106.000000,22.000000,0.000000,bottom
"C2","22p","C_0805_2012Metric",-106.025000,12.600000,0.000000,bottom
"C3","1u","C_0805_2012Metric",-106.025000,6.600000,0.000000,bottom
"C4","100n","C_0805_2012Metric",-106.025000,9.700000,0.000000,bottom
"C5","100n","C_0805_2012Metric",-106.025000,25.100000,0.000000,bottom
"C6","100n","C_0805_2012Metric",-128.725000,11.800000,180.000000,bottom
"C7","100n","C_0805_2012Metric",-128.625000,18.900000,180.000000,bottom
"C8","4.7u","C_0805_2012Metric",-122.025000,5.600000,180.000000,bottom
"D1","D","D_SOD-123",-33.056250,83.896875,90.000000,bottom
"D2","D","D_SOD-123",-52.200000,83.950000,90.000000,bottom
"D3","D","D_SOD-123",-71.156250,83.896875,90.000000,bottom
"D4","D","D_SOD-123",-90.206250,83.896875,90.000000,bottom
"D5","D","D_SOD-123",-109.256250,83.896875,90.000000,bottom
"D6","D","D_SOD-123",-128.306250,83.896875,90.000000,bottom
"D7","D","D_SOD-123",-147.356250,83.896875,90.000000,bottom
"D8","D","D_SOD-123",-166.406250,83.896875,90.000000,bottom
"D9","D","D_SOD-123",-185.456250,83.896875,90.000000,bottom
"D10","D","D_SOD-123",-204.506250,83.896875,90.000000,bottom
"D11","D","D_SOD-123",-223.556250,83.896875,90.000000,bottom
"D12","D","D_SOD-123",-242.606250,83.896875,90.000000,bottom
"D13","D","D_SOD-123",-261.656250,83.896875,90.000000,bottom
"D14","D","D_SOD-123",-280.706250,83.896875,90.000000,bottom
"D15","D","D_SOD-123",-299.756250,83.896875,90.000000,bottom
"D16","D","D_SOD-123",-37.818750,64.846875,90.000000,bottom
"D17","D","D_SOD-123",-61.631250,64.850000,90.000000,bottom
"D18","D","D_SOD-123",-80.681250,64.846875,90.000000,bottom
"D19","D","D_SOD-123",-99.731250,64.846875,90.000000,bottom
"D20","D","D_SOD-123",-118.781250,64.846875,90.000000,bottom
"D21","D","D_SOD-123",-137.831250,64.846875,90.000000,bottom
"D22","D","D_SOD-123",-156.881250,64.846875,90.000000,bottom
"D23","D","D_SOD-123",-175.931250,64.846875,90.000000,bottom
"D24","D","D_SOD-123",-194.981250,64.846875,90.000000,bottom
"D25","D","D_SOD-123",-214.031250,64.846875,90.000000,bottom
"D26","D","D_SOD-123",-233.081250,64.846875,90.000000,bottom
"D27","D","D_SOD-123",-252.131250,64.846875,90.000000,bottom
"D28","D","D_SOD-123",-271.181250,64.846875,90.000000,bottom
"D29","D","D_SOD-123",-40.200000,45.796875,90.000000,bottom
"D30","D","D_SOD-123",-66.393750,45.796875,90.000000,bottom
"D31","D","D_SOD-123",-85.500000,45.750000,90.000000,bottom
"D32","D","D_SOD-123",-104.493750,45.796875,90.000000,bottom
"D33","D","D_SOD-123",-123.543750,45.796875,90.000000,bottom
"D34","D","D_SOD-123",-142.593750,45.796875,90.000000,bottom
"D35","D","D_SOD-123",-161.643750,45.796875,90.000000,bottom
"D36","D","D_SOD-123",-180.693750,45.796875,90.000000,bottom
"D37","D","D_SOD-123",-199.743750,45.796875,90.000000,bottom
"D38","D","D_SOD-123",-218.793750,45.796875,90.000000,bottom
"D39","D","D_SOD-123",-237.843750,45.796875,90.000000,bottom
"D40","D","D_SOD-123",-256.893750,45.796875,90.000000,bottom
"D41","D","D_SOD-123",-275.943750,45.796875,90.000000,bottom
"D42","D","D_SOD-123",-297.375000,55.321875,90.000000,bottom
"D43","D","D_SOD-123",-42.581250,26.746875,90.000000,bottom
"D44","D","D_SOD-123",-71.156250,26.746875,90.000000,bottom
"D45","D","D_SOD-123",-90.300000,26.750000,90.000000,bottom
"D46","D","D_SOD-123",-110.400000,29.200000,90.000000,bottom
"D47","D","D_SOD-123",-129.106250,29.146875,90.000000,bottom
"D48","D","D_SOD-123",-147.356250,26.746875,90.000000,bottom
"D49","D","D_SOD-123",-166.406250,26.746875,90.000000,bottom
"D50","D","D_SOD-123",-185.456250,26.746875,90.000000,bottom
"D51","D","D_SOD-123",-204.506250,26.746875,90.000000,bottom
"D52","D","D_SOD-123",-223.556250,26.746875,90.000000,bottom
"D53","D","D_SOD-123",-242.606250,26.746875,90.000000,bottom
"D54","D","D_SOD-123",-261.656250,26.746875,90.000000,bottom
"D55","D","D_SOD-123",-280.706250,26.746875,90.000000,bottom
"D56","D","D_SOD-123",-299.756250,26.746875,90.000000,bottom
"D57","D","D_SOD-123",-35.437500,7.696875,90.000000,bottom
"D58","D","D_SOD-123",-59.250000,7.696875,90.000000,bottom
"D59","D","D_SOD-123",-83.062500,7.696875,90.000000,bottom
"D60","D","D_SOD-123",-154.500000,7.696875,90.000000,bottom
"D61","D","D_SOD-123",-261.656250,7.696875,90.000000,bottom
"D62","D","D_SOD-123",-280.706250,7.696875,90.000000,bottom
"D63","D","D_SOD-123",-299.756250,7.696875,90.000000,bottom
"D64","3.6V","D_SOD-123",-7.180000,87.310000,180.000000,bottom
"D65","3.6v","D_SOD-123",-7.180000,90.612000,0.000000,bottom
"F1","500mA","Fuse_0805_2012Metric",-14.292000,84.770000,0.000000,bottom
"R1","1.5k","R_0805_2012Metric",-14.292000,87.310000,0.000000,bottom
"R2","5.1k","R_0805_2012Metric",-11.752000,81.976000,180.000000,bottom
"R3","10k","R_0805_2012Metric",-128.725000,8.500000,0.000000,bottom
"R4","10k","R_0805_2012Metric",-128.600000,23.600000,180.000000,bottom
"R5","5.1k","R_0805_2012Metric",-11.752000,75.880000,180.000000,bottom
"R6","75","R_0805_2012Metric",-11.752000,77.912000,180.000000,bottom
"R7","75","R_0805_2012Metric",-11.752000,79.944000,180.000000,bottom
"SW1","SW_PUSH","SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin",-147.265000,4.000000,180.000000,bottom
"U1","ATMEGA32U4","TQFP-44_10x10mm_Pitch0.8mm",-117.800000,14.600000,180.000000,bottom
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",-106.150000,17.100000,270.000000,bottom
"K1","KEYSW","MXOnly-1U-Hotswap",25.912500,87.468750,0.000000,top
"K2","KEYSW","MXOnly-1U-Hotswap",44.962500,87.468750,0.000000,top
"K3","KEYSW","MXOnly-1U-Hotswap",64.012500,87.468750,0.000000,top
"K4","KEYSW","MXOnly-1U-Hotswap",83.062500,87.468750,0.000000,top
"K5","KEYSW","MXOnly-1U-Hotswap",102.112500,87.468750,0.000000,top
"K6","KEYSW","MXOnly-1U-Hotswap",121.162500,87.468750,0.000000,top
"K7","KEYSW","MXOnly-1U-Hotswap",140.212500,87.468750,0.000000,top
"K8","KEYSW","MXOnly-1U-Hotswap",159.262500,87.468750,0.000000,top
"K9","KEYSW","MXOnly-1U-Hotswap",178.312500,87.468750,0.000000,top
"K10","KEYSW","MXOnly-1U-Hotswap",197.362500,87.468750,0.000000,top
"K11","KEYSW","MXOnly-1U-Hotswap",216.412500,87.468750,0.000000,top
"K12","KEYSW","MXOnly-1U-Hotswap",235.462500,87.468750,0.000000,top
"K13","KEYSW","MXOnly-1U-Hotswap",254.512500,87.468750,0.000000,top
"K14","KEYSW","MXOnly-1U-Hotswap",273.562500,87.468750,0.000000,top
"K15","KEYSW","MXOnly-1U-Hotswap",292.612500,87.468750,0.000000,top
"K16","KEYSW","MXOnly-1.5U-Hotswap",30.675000,68.418750,0.000000,top
"K17","KEYSW","MXOnly-1U-Hotswap",54.487500,68.418750,0.000000,top
"K18","KEYSW","MXOnly-1U-Hotswap",73.537500,68.418750,0.000000,top
"K19","KEYSW","MXOnly-1U-Hotswap",92.587500,68.418750,0.000000,top
"K20","KEYSW","MXOnly-1U-Hotswap",111.637500,68.418750,0.000000,top
"K21","KEYSW","MXOnly-1U-Hotswap",130.687500,68.418750,0.000000,top
"K22","KEYSW","MXOnly-1U-Hotswap",149.737500,68.418750,0.000000,top
"K23","KEYSW","MXOnly-1U-Hotswap",168.787500,68.418750,0.000000,top
"K24","KEYSW","MXOnly-1U-Hotswap",187.837500,68.418750,0.000000,top
"K25","KEYSW","MXOnly-1U-Hotswap",206.887500,68.418750,0.000000,top
"K26","KEYSW","MXOnly-1U-Hotswap",225.937500,68.418750,0.000000,top
"K27","KEYSW","MXOnly-1U-Hotswap",244.987500,68.418750,0.000000,top
"K28","KEYSW","MXOnly-1U-Hotswap",264.037500,68.418750,0.000000,top
"K29","KEYSW","MXOnly-1.75U-Hotswap",33.056250,49.368750,0.000000,top
"K30","KEYSW","MXOnly-1U-Hotswap",59.250000,49.368750,0.000000,top
"K31","KEYSW","MXOnly-1U-Hotswap",78.300000,49.368750,0.000000,top
"K32","KEYSW","MXOnly-1U-Hotswap",97.350000,49.368750,0.000000,top
"K33","KEYSW","MXOnly-1U-Hotswap",116.400000,49.368750,0.000000,top
"K34","KEYSW","MXOnly-1U-Hotswap",135.450000,49.368750,0.000000,top
"K35","KEYSW","MXOnly-1U-Hotswap",154.500000,49.368750,0.000000,top
"K36","KEYSW","MXOnly-1U-Hotswap",173.550000,49.368750,0.000000,top
"K37","KEYSW","MXOnly-1U-Hotswap",192.600000,49.368750,0.000000,top
"K38","KEYSW","MXOnly-1U-Hotswap",211.650000,49.368750,0.000000,top
"K39","KEYSW","MXOnly-1U-Hotswap",230.700000,49.368750,0.000000,top
"K40","KEYSW","MXOnly-1U-Hotswap",249.750000,49.368750,0.000000,top
"K41","KEYSW","MXOnly-1U-Hotswap",268.800000,49.368750,0.000000,top
"K43","KEYSW","MXOnly-2U-Hotswap-ReversedStabilizers",35.437500,30.318750,0.000000,top
"K44","KEYSW","MXOnly-1U-Hotswap",63.953750,30.318750,0.000000,top
"K45","KEYSW","MXOnly-1U-Hotswap",83.062500,30.318750,0.000000,top
"K46","KEYSW","MXOnly-1U-Hotswap",102.112500,30.318750,0.000000,top
"K47","KEYSW","MXOnly-1U-Hotswap",121.162500,30.318750,0.000000,top
"K48","KEYSW","MXOnly-1U-Hotswap",140.212500,30.318750,0.000000,top
"K49","KEYSW","MXOnly-1U-Hotswap",159.262500,30.318750,0.000000,top
"K50","KEYSW","MXOnly-1U-Hotswap",178.312500,30.318750,0.000000,top
"K51","KEYSW","MXOnly-1U-Hotswap",197.362500,30.318750,0.000000,top
"K52","KEYSW","MXOnly-1U-Hotswap",216.412500,30.318750,0.000000,top
"K53","KEYSW","MXOnly-1U-Hotswap",235.462500,30.318750,0.000000,top
"K54","KEYSW","MXOnly-1U-Hotswap",254.512500,30.318750,0.000000,top
"K55","KEYSW","MXOnly-1U-Hotswap",273.562500,30.318750,0.000000,top
"K56","KEYSW","MXOnly-1U-Hotswap",292.612500,30.318750,0.000000,top
"K57","KEYSW","MXOnly-1.25U-Hotswap",28.293750,11.268750,0.000000,top
"K58","KEYSW","MXOnly-1.25U-Hotswap",52.106250,11.268750,0.000000,top
"K59","KEYSW","MXOnly-1.25U-Hotswap",75.918750,11.268750,0.000000,top
"K60","KEYSW","MXOnly-6.25U-Hotswap-ReversedStabilizers",147.356250,11.268750,0.000000,top
"K61","KEYSW","MXOnly-1U-Hotswap",254.512500,11.268750,0.000000,top
"K62","KEYSW","MXOnly-1U-Hotswap",273.562500,11.268750,0.000000,top
"K63","KEYSW","MXOnly-1U-Hotswap",292.612500,11.268750,0.000000,top
